userA userB times interaction
223789 213163 1341100972 MT
223789 213163 1341100972 RE
376989 50329 1341101181 RT
26375 168366 1341101183 MT
376989 13813 1341101192 RT
453850 8 1341101208 RT
422097 8 1341101251 MT
99258 50329 1341101263 RT
184615 364376 1341101523 MT
184615 364376 1341101523 RE
184615 364375 1341101523 MT
92153 60337 1341101596 MT
75083 84647 1341101732 RT
75083 42182 1341101732 MT
364376 184615 1341101750 MT
364376 184615 1341101750 RE
442071 26139 1341101834 MT
163149 2417 1341101861 MT
33946 2417 1341101892 MT
10284 33946 1341102030 MT
10284 2417 1341102030 MT
